exchange,symbol,quote_asset,volume_bucket,cap_bucket,market_cap,rank_score,blacklisted,source_file
binance,BINANCE:UAIUSDT.P,USDT,1M-5M,10M-100M,76382223,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ZENUSDT,USDT,1M-5M,10M-100M,76264448,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:ARKMUSDT.P,USDT,1M-5M,10M-100M,75973515,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ORCAUSDT.P,USDT,1M-5M,10M-100M,75613399,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:RSRUSDT.P,USDT,1M-5M,10M-100M,75275715,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ZAMAUSDT,USDT,1M-5M,10M-100M,75169700,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:QTUMUSDT.P,USDT,1M-5M,10M-100M,74342067,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SAFEUSDT.P,USDT,1M-5M,10M-100M,73761685,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ZRXUSDT.P,USDT,1M-5M,10M-100M,73642436,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:CFGUSDT.P,USDT,1M-5M,10M-100M,73581216,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ORDIUSDC.P,USDC,1M-5M,10M-100M,73533257,32,no,binance_USDC_perp_pairs_07-jul-26.txt
binance,BINANCE:ORDIUSDT,USDT,1M-5M,10M-100M,73533257,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:BANUSDT.P,USDT,1M-5M,10M-100M,72901397,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:CHIPUSDT,USDT,1M-5M,10M-100M,70450075,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:NMRUSDT.P,USDT,1M-5M,10M-100M,69957818,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:GASUSDT.P,USDT,1M-5M,10M-100M,69162152,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BIOUSDT,USDT,1M-5M,10M-100M,63856519,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:PLUMEUSDT,USDT,1M-5M,10M-100M,63850236,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:PLUMEUSDT.P,USDT,1M-5M,10M-100M,63850236,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SKRUSDT.P,USDT,1M-5M,10M-100M,63595409,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MINAUSDT,USDT,1M-5M,10M-100M,63378610,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:IOUSDT,USDT,1M-5M,10M-100M,63297884,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:IOUSDT.P,USDT,1M-5M,10M-100M,63297884,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:WUSDT,USDT,1M-5M,10M-100M,63047720,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:KSMUSDT,USDT,1M-5M,10M-100M,62438073,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:BERAUSDT,USDT,1M-5M,10M-100M,62231360,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:RVNUSDT.P,USDT,1M-5M,10M-100M,62184076,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:GMXUSDT.P,USDT,1M-5M,10M-100M,61549178,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:TURBOUSDT.P,USDT,1M-5M,10M-100M,60737304,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ZILUSDT.P,USDT,1M-5M,10M-100M,59552343,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:LINEAUSDT.P,USDT,1M-5M,10M-100M,59542225,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:JELLYJELLYUSDT.P,USDT,1M-5M,10M-100M,57910082,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SOONUSDT.P,USDT,1M-5M,10M-100M,56763575,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SUPERUSDT.P,USDT,1M-5M,10M-100M,56574733,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ZETAUSDT.P,USDT,1M-5M,10M-100M,55269582,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BRETTUSDT.P,USDT,1M-5M,10M-100M,54950019,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MEGAUSDT,USDT,1M-5M,10M-100M,54834616,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:SPKUSDT.P,USDT,1M-5M,10M-100M,54239069,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BABYUSDT.P,USDT,1M-5M,10M-100M,53763705,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:COAIUSDT.P,USDT,1M-5M,10M-100M,52786303,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:AXLUSDT.P,USDT,1M-5M,10M-100M,51541911,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:TOSHIUSDT.P,USDT,1M-5M,10M-100M,50123856,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:XUSDUSDT,USDT,1M-5M,10M-100M,49543818,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:MOVEUSDT,USDT,1M-5M,10M-100M,49258141,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:KAVAUSDT.P,USDT,1M-5M,10M-100M,48875061,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:APRUSDT.P,USDT,1M-5M,10M-100M,48763691,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:HOLOUSDT.P,USDT,1M-5M,10M-100M,48657679,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ALCHUSDT.P,USDT,1M-5M,10M-100M,48395649,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:POPCATUSDT.P,USDT,1M-5M,10M-100M,48054052,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:DEEPUSDT.P,USDT,1M-5M,10M-100M,48053197,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:TRBUSDT,USDT,1M-5M,10M-100M,47814160,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:ROSEUSDT.P,USDT,1M-5M,10M-100M,46541519,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ONTUSDT.P,USDT,1M-5M,10M-100M,46062556,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:DUSKUSDT.P,USDT,1M-5M,10M-100M,45508077,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:PNUTUSDT.P,USDT,1M-5M,10M-100M,44674545,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:REDUSDT.P,USDT,1M-5M,10M-100M,44081242,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SUSHIUSDT.P,USDT,1M-5M,10M-100M,44016008,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:0GUSDT.P,USDT,1M-5M,10M-100M,43750367,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BARDUSDT.P,USDT,1M-5M,10M-100M,43747214,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:CELOUSDT,USDT,1M-5M,10M-100M,42986772,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:CELOUSDT.P,USDT,1M-5M,10M-100M,42986772,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MASKUSDT.P,USDT,1M-5M,10M-100M,42417300,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BRUSDT.P,USDT,1M-5M,10M-100M,42097886,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:GPSUSDT.P,USDT,1M-5M,10M-100M,41611908,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ALTUSDT.P,USDT,1M-5M,10M-100M,41528410,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MOODENGUSDT.P,USDT,1M-5M,10M-100M,41235379,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ESPUSDT.P,USDT,1M-5M,10M-100M,40994332,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:NOTUSDT.P,USDT,1M-5M,10M-100M,40842178,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:HUMAUSDT.P,USDT,1M-5M,10M-100M,40698049,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MEUSDT.P,USDT,1M-5M,10M-100M,38524994,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:PROVEUSDT.P,USDT,1M-5M,10M-100M,38407450,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:JCTUSDT.P,USDT,1M-5M,10M-100M,38277428,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MEMEUSDT.P,USDT,1M-5M,10M-100M,38275635,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:FOGOUSDT.P,USDT,1M-5M,10M-100M,37585600,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MANTRAUSDT.P,USDT,1M-5M,10M-100M,36506819,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SQDUSDT.P,USDT,1M-5M,10M-100M,36167540,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:VANAUSDT.P,USDT,1M-5M,10M-100M,35738612,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:SPACEUSDT.P,USDT,1M-5M,10M-100M,33776056,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:KGENUSDT.P,USDT,1M-5M,10M-100M,33644065,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:OPENUSDT.P,USDT,1M-5M,10M-100M,33398762,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ZESTUSDT.P,USDT,1M-5M,10M-100M,33397750,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:API3USDT.P,USDT,1M-5M,10M-100M,32893488,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:AVNTUSDT.P,USDT,1M-5M,10M-100M,32591696,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ZORAUSDT.P,USDT,1M-5M,10M-100M,32168293,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:USTCUSDT.P,USDT,1M-5M,10M-100M,31949580,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ZBTUSDT.P,USDT,1M-5M,10M-100M,31088301,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ROBOUSDT,USDT,1M-5M,10M-100M,29679911,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:IRYSUSDT.P,USDT,1M-5M,10M-100M,29649544,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BANDUSDT.P,USDT,1M-5M,10M-100M,29594339,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:BOMEUSDT.P,USDT,1M-5M,10M-100M,29522389,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ACXUSDT.P,USDT,1M-5M,10M-100M,29262571,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MMTUSDT.P,USDT,1M-5M,10M-100M,28691499,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:IDOLUSDT.P,USDT,1M-5M,10M-100M,28117398,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:NEIROUSDT,USDT,1M-5M,10M-100M,27578772,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:GIGGLEUSDT,USDT,1M-5M,10M-100M,27159742,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:PEOPLEUSDT.P,USDT,1M-5M,10M-100M,27044566,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ILVUSDT.P,USDT,1M-5M,10M-100M,26956690,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:MERLUSDT.P,USDT,1M-5M,10M-100M,25614554,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:IOTXUSDT.P,USDT,1M-5M,10M-100M,25463936,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ACUUSDT.P,USDT,1M-5M,10M-100M,25091639,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:REZUSDT.P,USDT,1M-5M,10M-100M,25073645,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:COTIUSDT.P,USDT,1M-5M,10M-100M,24664357,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:AUCTIONUSDT.P,USDT,1M-5M,10M-100M,24400791,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:GMTUSDT.P,USDT,1M-5M,10M-100M,24386014,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:IOSTUSDT.P,USDT,1M-5M,10M-100M,24344123,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:EDUUSDT.P,USDT,1M-5M,10M-100M,24299186,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:HYPERUSDT,USDT,1M-5M,10M-100M,24292455,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:HYPERUSDT.P,USDT,1M-5M,10M-100M,24292455,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:CYBERUSDT.P,USDT,1M-5M,10M-100M,24285608,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:STGUSDT,USDT,1M-5M,10M-100M,23810041,32,no,binance_USDT_pairs_07-jul-26.txt
binance,BINANCE:POWRUSDT.P,USDT,1M-5M,10M-100M,23543956,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:TRUTHUSDT.P,USDT,1M-5M,10M-100M,23511614,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:AIOUSDT.P,USDT,1M-5M,10M-100M,23140834,32,no,binance_USDT_perp_pairs_07-jul-26.txt
binance,BINANCE:ONGUSDT.P,USDT,1M-5M,10M-100M,22719844,32,no,binance_USDT_perp_pairs_07-jul-26.txt
