exchange,quote_asset,volume_bucket,cap_bucket,symbol,base_symbol,market_cap,source_file
binance,USDC,500K-1000K,500M+,BINANCE:HBARUSDC.P,HBAR,3142733828,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:LINKUSDC.P,LINK,5927422461,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:LTCUSDC.P,LTC,3412767845,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:NEARUSDC.P,NEAR,2646269101,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:SOLUSDC.P,SOL,47449497539,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:SUIUSDC.P,SUI,2996128805,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:UNIUSDC.P,UNI,1965146479,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:WLDUSDC.P,WLD,1402204027,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:WLFIUSDC.P,WLFI,1908524734,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:XRPUSDC.P,XRP,70226699563,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,500K-1000K,500M+,BINANCE:ZECUSDC.P,ZEC,7628612542,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:AAVEUSDC.P,AAVE,1423140110,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:ADAUSDC.P,ADA,6702187370,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:AVAXUSDC.P,AVAX,2927360426,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:BCHUSDC.P,BCH,4789905508,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:BNBUSDC.P,BNB,77960724262,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:BTCUSDC.P,BTC,1265744153723,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:DOGEUSDC.P,DOGE,11626012901,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:ENAUSDC.P,ENA,729518162,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:ETHUSDC.P,ETH,213947939547,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:LINKUSDC.P,LINK,5927422461,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:LTCUSDC.P,LTC,3412767845,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:NEARUSDC.P,NEAR,2646269101,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:SOLUSDC.P,SOL,47449497539,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:SUIUSDC.P,SUI,2996128805,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:WLDUSDC.P,WLD,1402204027,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:XRPUSDC.P,XRP,70226699563,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDC,5M+,500M+,BINANCE:ZECUSDC.P,ZEC,7628612542,binance_USDC_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:1INCHUSDT.P,1INCH,100910265,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:2ZUSDT.P,2Z,251819127,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:AKTUSDT.P,AKT,181462822,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:APEUSDT.P,APE,135291966,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:ARUSDT,AR,131085414,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:ARUSDT.P,AR,131085414,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:AUSDT.P,A,122134831,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:AXSUSDT,AXS,174506810,binance_USDT_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:AXSUSDT.P,AXS,174506810,binance_USDT_perp_pairs_07-jul-26.txt
binance,USDT,1M-5M,100M-500M,BINANCE:BATUSDT.P,BAT,130502814,binance_USDT_perp_pairs_07-jul-26.txt
